4-1	僕はもう夢中。
1416-1	なんだか彼女をもっともっと好きになれそうな気がするよ！
1418-0	花をそれに添えるように今日は５安打完封でした！
1418-1	それに花を添えるように今日は５安打完封でした！
1420-1	天皇杯予選はＢチームで行くんじゃないの？
1420-0	Ｂチームで天皇杯予選は行くんじゃないの？
1428-0	古材をこちらの御宅は使用した
1428-1	こちらの御宅は古材を使用した
1431-0	私がやっぱり甘かったのだと思う。
1431-1	やっぱり私が甘かったのだと思う。
1438-0	自分なりに服を外出時に皆さんはコーディネートしますよね？
1438-1	皆さんは外出時に服を自分なりにコーディネートしますよね？
1444-1	自作なだけに作りがいがありますヨ。
1444-0	作りがいが自作なだけにありますヨ。
1456-1	俺も実は初視聴ではそこまで魅力を感じなかった
1456-0	魅力を俺も初視聴ではそこまで実は感じなかった
1458-0	ちゃんと水よりも重い冷媒なら計算しましょう。
1458-1	水よりも重い冷媒ならちゃんと計算しましょう。
1459-1	これから春にむかって暖かかったり寒かったり
1459-0	春にこれからむかって暖かかったり寒かったり
1465-1	ちょっとくつろぐのには丁度良い大きさですよ♪
1465-0	丁度ちょっとくつろぐのには良い大きさですよ♪
1471-0	特にいっぱい陸上以外のことを書きたいですね。
1471-1	特に陸上以外のことをいっぱい書きたいですね。
1473-0	お部屋に電子レンジがこの時ばかりは欲しかったです
1473-1	この時ばかりはお部屋に電子レンジが欲しかったです
1481-0	車で長崎本線佐賀駅より１５分．
1481-1	長崎本線佐賀駅より車で１５分．
1484-1	ダウクス・ブラックナイトは花期が長いんですね。
1484-0	花期がダウクス・ブラックナイトは長いんですね。
1488-0	絶対に俺ならヤダ
1488-1	俺なら絶対にヤダ
1489-1	彼はじっと僕の顔を見つめた。
1489-0	じっと彼は僕の顔を見つめた。
1500-0	打越もとひさは淡路島にフェリーで帰宅後被災。
1500-1	打越もとひさはフェリーで淡路島に帰宅後被災。
1501-1	なんだかもうずっと忙しくて
1501-0	もうずっとなんだか忙しくて
1502-0	ほぼレイクルイーズやアイスフィールドパークウェイなどロッキー観光の要素は含まれています。
1502-1	レイクルイーズやアイスフィールドパークウェイなどロッキー観光の要素はほぼ含まれています。
1503-0	少しずつカッターで私はといていっているのですが
1503-1	私はカッターで少しずつといていっているのですが
1507-0	僕の説明に耳を加藤は傾けている。
1507-1	加藤は僕の説明に耳を傾けている。
1512-1	今後の日本の教科書は事実の記述しかしないだろうな。
1512-0	事実の記述しか今後の日本の教科書はしないだろうな。
1518-0	さすがチャチャっと出来ちゃうところがａｃｏちゃんだよ。
1518-1	チャチャっと出来ちゃうところがさすがａｃｏちゃんだよ。
1521-1	眩い東京タワーの輝きが心に沁みてきました。
1521-0	心に眩い東京タワーの輝きが沁みてきました。
1523-0	まだ今は安静にしないといけない時期ですよ。
1523-1	今はまだ安静にしないといけない時期ですよ。
1524-1	今日はバラ巻き叉焼をおまけしてもらいました。
1524-0	バラ巻き叉焼を今日はおまけしてもらいました。
1527-0	３０歳平均で東電は年収８００万ぐらいらしいな。
1527-1	東電は３０歳平均で年収８００万ぐらいらしいな。
1535-0	あまり上記のルアーだと飛びません。
1535-1	上記のルアーだとあまり飛びません。
1547-1	俺の志望先も土木建築の採用はないからなー
1547-0	土木建築の採用は俺の志望先もないからなー
1549-0	もう非常事態だからしょうがないだろ
1549-1	非常事態だからもうしょうがないだろ
1553-0	まだ何をあげるかは悩み中ですが
1553-1	何をあげるかはまだ悩み中ですが
1554-0	朝から今日は慎吾が頑張ってます。
1554-1	今日は朝から慎吾が頑張ってます。
1555-0	ソノ手もＪＡＲＬ会員ならありますがね。
1555-1	ＪＡＲＬ会員ならソノ手もありますがね。
1560-0	温泉道を別府で極める
1560-1	別府で温泉道を極める
1561-1	鳩山は普天間しか見てないんだろ
1561-0	普天間しか鳩山は見てないんだろ
1562-1	野菜やお肉がごろごろいっぱい入っていて美味しそうです。
1562-0	ごろごろ野菜やお肉がいっぱい入っていて美味しそうです。
1564-0	荒らしが酷いとどのサイトも２ちゃんねるその物ですね
1564-1	どのサイトも荒らしが酷いと２ちゃんねるその物ですね
1567-0	寒さが今年の冬は身にしみそうです〜☆
1567-1	今年の冬は寒さが身にしみそうです〜☆
1578-0	管理人の見解でこれは行ないます。
1578-1	これは管理人の見解で行ないます。
1582-0	いつも民主党って理屈ばっかり
1582-1	民主党っていつも理屈ばっかり
1584-1	小さい２人に何の罪もないのでございます。
1584-0	何の罪も小さい２人にないのでございます。
1587-1	なぜかジャビット君がお出迎え
1587-0	ジャビット君がなぜかお出迎え
1591-0	すべて作詞は海原純子みずから手掛けている。
1591-1	作詞はすべて海原純子みずから手掛けている。
1593-1	青森県西津軽郡深浦町の実家は漁業を営む。
1593-0	漁業を青森県西津軽郡深浦町の実家は営む。
1594-1	ちょっとだけイメージを変えてみました。
1594-0	イメージをちょっとだけ変えてみました。
1598-1	ビジネスシーンに少しアクセントを付けてみてはいかが？
1598-0	少しビジネスシーンにアクセントを付けてみてはいかが？
1602-0	黒潮の縁にどうやらかかったようです。
1602-1	どうやら黒潮の縁にかかったようです。
1604-1	俺はそのカップルに小さなプレゼントをあげた。
1604-0	小さなプレゼントを俺はそのカップルにあげた。
1607-1	ぼくのブログが少しでもお役に立てばうれしいです。
1607-0	少しでもお役にぼくのブログが立てばうれしいです。
1608-0	約７００人が全体で参加するイベントです。
1608-1	全体で約７００人が参加するイベントです。
1613-1	今年の鳥取砂丘イリュージョンは範囲を拡大！
1613-0	範囲を今年の鳥取砂丘イリュージョンは拡大！
1614-1	耀さんが布団を蹴飛ばします。
1614-0	布団を耀さんが蹴飛ばします。
1619-0	エムピージェー発行の本も本のコーナーには常備！
1619-1	本のコーナーにはエムピージェー発行の本も常備！
1622-0	花田の脚本がいいとして設定は嫌いかな。
1622-1	設定はいいとして花田の脚本が嫌いかな。
1625-0	かなりセンスがナチュラルテイストでいい。
1625-1	ナチュラルテイストでセンスがかなりいい。
1632-1	今月はなぜかエプロンにお問合わせが集中！
1632-0	お問合わせがなぜかエプロンに今月は集中！
1636-1	お客様のご自宅まで取りにお伺い致します。
1636-0	取りにお客様のご自宅までお伺い致します。
1638-1	ごはんが全く見えないほどのボリューム。
1638-0	全くごはんが見えないほどのボリューム。
1641-0	タイミングがまた合わなかった！
1641-1	またタイミングが合わなかった！
1654-1	まさかこれを風評被害とは言わないだろう。
1654-0	これを風評被害とはまさか言わないだろう。
1655-0	町を教会の上からは一望できる。
1655-1	教会の上からは町を一望できる。
1661-1	月１回は師範と稽古がしたいです。
1661-0	師範と稽古が月１回はしたいです。
1680-0	嫌だから花王やロートの商品は買わない。
1680-1	花王やロートの商品は嫌だから買わない。
1690-0	ランチダブルを１人でさすがに食べるのはキツい
1690-1	さすがにランチダブルを１人で食べるのはキツい
1703-0	五度目の死をＬはむかえた。
1703-1	Ｌは五度目の死をむかえた。
1704-0	道路を中東で渡るとき
1704-1	中東で道路を渡るとき
1707-0	握手もお話するのも永岡さんとは初めて。
1707-1	永岡さんとは握手もお話するのも初めて。
1709-1	なんか頭が全然回らないー。
1709-0	頭が全然なんか回らないー。
1716-1	良くも悪くもそれが無いってことかね？
1716-0	それが良くも悪くも無いってことかね？
1718-1	この４〜５月はお金がいるなあ。
1718-0	お金がこの４〜５月はいるなあ。
1719-1	なんでみんなこんな基本的なことがわからないんでしょうね！！！
1719-0	こんな基本的なことがみんななんでわからないんでしょうね！！！
1721-1	これを車掌さんがびしっと指差し確認しているところはかっこいいですね。
1721-0	びしっとこれを車掌さんが指差し確認しているところはかっこいいですね。
1722-0	どこに投稿数の上限は記載されているんですか？
1722-1	投稿数の上限はどこに記載されているんですか？
1725-0	映画・ドラマを中心に現在は活動している。
1725-1	現在は映画・ドラマを中心に活動している。
1732-0	雪は西斜面のせいかついてるほうかな？
1732-1	西斜面のせいか雪はついてるほうかな？
1738-1	米国の対イラン圧力は石油価格を押し上げる。
1738-0	石油価格を米国の対イラン圧力は押し上げる。
1748-1	こっちはやっぱり規模がすごいです。
1748-0	規模がやっぱりこっちはすごいです。
1759-0	草鞋を次回は持参ですわね。
1759-1	次回は草鞋を持参ですわね。
1763-0	きっと彼は回復する。
1763-1	彼はきっと回復する。
1765-1	球に伸びが加わりましたね。
1765-0	伸びが球に加わりましたね。
1766-1	いつものようにヤフーのブログでゼラニウムを検索した。
1766-0	ヤフーのブログでゼラニウムをいつものように検索した。
1767-0	照明器具をこの撮影には持参しておりません。
1767-1	この撮影には照明器具を持参しておりません。
1768-0	日本にはこんなブラジルでも圧勝する
1768-1	こんなブラジルでも日本には圧勝する
1770-0	後輩へ先輩がアドバイスしてるのでしょうか。
1770-1	先輩が後輩へアドバイスしてるのでしょうか。
1773-0	竹の輪を口元に林が押しつけてきた。
1773-1	林が竹の輪を口元に押しつけてきた。
1778-1	なんたって教師の性犯罪が後を絶たないからね
1778-0	教師の性犯罪がなんたって後を絶たないからね
1783-0	人がかなり入ったのねん。
1783-1	かなり人が入ったのねん。
1787-0	ゼリー状の粘液に排卵期にはなる。
1787-1	排卵期にはゼリー状の粘液になる。
1788-0	モダンなイメージが夜には強くなります
1788-1	夜にはモダンなイメージが強くなります
1789-0	ニコニコなどで人気なのはアニメキャラが必ずメインのばかり
1789-1	ニコニコなどで人気なのは必ずアニメキャラがメインのばかり
1796-1	日本だと沖縄の玉泉洞もなかなか良かったよ。
1796-0	沖縄の玉泉洞も日本だとなかなか良かったよ。
1798-0	仕上がりがそのちょっと余計な描き込みで違うんだよ〜
1798-1	そのちょっと余計な描き込みで仕上がりが違うんだよ〜
1799-1	観光地価格なのかちょっとお高めだった。
1799-0	ちょっと観光地価格なのかお高めだった。
1801-0	１０試合はハゲで落としたとはなんだったのか
1801-1	ハゲで１０試合は落としたとはなんだったのか
1806-1	閲覧ソフトから印刷ソフトまで専用のものを作ってしまえばいいのでは？
1806-0	専用のものを閲覧ソフトから印刷ソフトまで作ってしまえばいいのでは？
1807-0	清潔感がバービーってなんかないからナァ
1807-1	バービーってなんか清潔感がないからナァ
1808-0	女性がそれに高機能を持っちゃいけないことなんてないよ
1808-1	それに女性が高機能を持っちゃいけないことなんてないよ
1815-0	π結合が中心原子と酸素原子の大きさが近いとできやすい。
1815-1	中心原子と酸素原子の大きさが近いとπ結合ができやすい。
1817-1	お前らは視線を感じた。
1817-0	視線をお前らは感じた。
1819-0	壁は大体床から１ｍくらい拭いています。
1819-1	壁は床から大体１ｍくらい拭いています。
1824-1	私もＰＣでの録画は諦めたよ〜
1824-0	ＰＣでの録画は私も諦めたよ〜
1830-1	いつの間にか真夏になっていた。
1830-0	真夏にいつの間にかなっていた。
1832-0	ドリンクメニューのタブをくわしくはご覧ください♪
1832-1	くわしくはドリンクメニューのタブをご覧ください♪
1837-1	あなたから金玉の光を感じました。
1837-0	金玉の光をあなたから感じました。
1840-1	そういう瞬間をビデオに撮りたいですよね〜！
1840-0	ビデオにそういう瞬間を撮りたいですよね〜！
1841-1	接近戦でティアの脇腹に剣を刺せる。
1841-0	剣をティアの脇腹に接近戦で刺せる。
1846-1	ただ残念なことに肝心の映画が特定できない。
1846-0	肝心の映画がただ残念なことに特定できない。
1851-1	相手もそれをしっていました。
1851-0	それを相手もしっていました。
1854-1	私も半自給自足生活を送るのが夢なのでとっても素敵です。
1854-0	半自給自足生活を私も送るのが夢なのでとっても素敵です。
1857-1	ガックンとかもやや不安要素でもあるし。
1857-0	ややガックンとかも不安要素でもあるし。
1866-0	別のお風呂にあとで入ったけどね。
1866-1	あとで別のお風呂に入ったけどね。
1867-0	２０話くらいしか読んでないよまだ；；
1867-1	まだ２０話くらいしか読んでないよ；；
1882-1	まあ１４年前のことだから無駄かも知れないけど一応。
1882-0	無駄かも知れないけどまあ１４年前のことだから一応。
1902-1	今日は２人でやったよ
1902-0	２人で今日はやったよ
1908-0	迷惑ばかりいつもかけている馬鹿な息子からの
1908-1	いつも迷惑ばかりかけている馬鹿な息子からの
1910-0	どこでもかかりつけ医はいいの？
1910-1	かかりつけ医はどこでもいいの？
1914-1	糸魚川市出身の＃１８加藤は１１分の出場で４得点だった。
1914-0	１１分の出場で糸魚川市出身の＃１８加藤は４得点だった。
1915-1	成績がよくてもバカはバカです。
1915-0	バカは成績がよくてもバカです。
1918-1	そんな時に隣で出口塾が行なわれていました。
1918-0	隣でそんな時に出口塾が行なわれていました。
1921-0	みんな友達は就職で
1921-1	友達はみんな就職で
1924-1	今回の事件は自民が原因なんだが。
1924-0	自民が今回の事件は原因なんだが。
1927-0	マスコミと報道の質が一緒。
1927-1	報道の質がマスコミと一緒。
1931-0	放送中止にクレヨンしんちゃんはなるのですか？
1931-1	クレヨンしんちゃんは放送中止になるのですか？
1936-0	トビイカが店の前の海岸では天日干しに。
1936-1	店の前の海岸ではトビイカが天日干しに。
1943-0	フットサルとサッカーの関係性にこれは似ています。
1943-1	これはフットサルとサッカーの関係性に似ています。
1945-1	今日はこれから関西ユキ祭です！！
1945-0	これから今日は関西ユキ祭です！！
1949-0	ソルスの荒地にまゆはやってきました☆
1949-1	まゆはソルスの荒地にやってきました☆
1954-1	みんなで日食を観察しました
1954-0	日食をみんなで観察しました
1955-0	ここから大きなサイズはダウンロード
1955-1	大きなサイズはここからダウンロード
1956-1	そうこうしている間に１１６．８３円と円高です。
1956-0	１１６．８３円とそうこうしている間に円高です。
1960-1	これもＫＴＳのチタンブリッジに変更しています。
1960-0	ＫＴＳのチタンブリッジにこれも変更しています。
1961-0	１６９０ｍｍに横幅を抑えたコンパクトソファ。
1961-1	横幅を１６９０ｍｍに抑えたコンパクトソファ。
1964-1	高確率で石原新党に合流なんだろうけど。
1964-0	石原新党に高確率で合流なんだろうけど。
1965-1	兄妹愛のひとつの形がここでいったん完結。
1965-0	ここでいったん兄妹愛のひとつの形が完結。
1966-0	一位に誰が今回はなるかな？
1966-1	今回は誰が一位になるかな？
1967-0	この冷麺を妻は注文
1967-1	妻はこの冷麺を注文
1970-1	私はチーズケーキにヨーグルト
1970-0	チーズケーキに私はヨーグルト
1971-1	どうせならみんなで盛り上がろう！
1971-0	みんなでどうせなら盛り上がろう！
1974-1	来年の生け贄ダンサーはｍａｒｉさんに決まりました！
1974-0	ｍａｒｉさんに来年の生け贄ダンサーは決まりました！
1975-0	韓国全土で米韓合同軍事演習を今年三月に行った。
1975-1	今年三月に韓国全土で米韓合同軍事演習を行った。
1977-1	システムは全然ダメ。
1977-0	全然システムはダメ。
1982-0	拍手で生徒たちがむかえます。
1982-1	生徒たちが拍手でむかえます。
1997-0	けっこう鯛が入ってる！
1997-1	鯛がけっこう入ってる！
1998-0	是非とも次は参加したいなー。
1998-1	次は是非とも参加したいなー。
1999-0	これを連邦が量産するそうですよ
1999-1	連邦がこれを量産するそうですよ
2006-0	砂糖をおせちってたっぷり使っていたりしますよね？
2006-1	おせちって砂糖をたっぷり使っていたりしますよね？
2007-0	マスターボールをすかさず投げました。
2007-1	すかさずマスターボールを投げました。
2010-0	サーファー死亡よりも女児の指切断は大事だな
2010-1	女児の指切断はサーファー死亡よりも大事だな
2024-1	今年も沢山仲良くしてくださいね。
2024-0	沢山今年も仲良くしてくださいね。
2026-1	ちょっとだけ願をかけました。
2026-0	願をちょっとだけかけました。
2031-1	日本人は焼肉なら肉だけを食べてしまう。
2031-0	焼肉なら日本人は肉だけを食べてしまう。
2034-1	正にゴールハンターと言われるような活躍。
2034-0	ゴールハンターと正に言われるような活躍。
2047-0	最高ですねセクシーなボディラインが＾＾
2047-1	セクシーなボディラインが最高ですね＾＾
2049-1	厳しい冬の後には必ず春が来る。
2049-0	必ず春が厳しい冬の後には来る。
2050-1	少し前に電車で伊勢神宮に行ってきました
2050-0	伊勢神宮に電車で少し前に行ってきました
2058-1	うちはミニピンだから絵柄なんて見たことがないです〜
2058-0	絵柄なんてうちはミニピンだから見たことがないです〜
2061-1	ＪＥがプレス工場なんて持てるわけない
2061-0	プレス工場なんてＪＥが持てるわけない
2062-1	なんでグースネックのアイアンはつかまりがいいんですか？
2062-0	つかまりがなんでグースネックのアイアンはいいんですか？
2064-0	頭の中がきっと垢抜けない田舎者なのでしょうね。
2064-1	きっと頭の中が垢抜けない田舎者なのでしょうね。
2066-1	日・中が尖閣の領有権を主張する問題だろ？
2066-0	尖閣の領有権を日・中が主張する問題だろ？
2067-0	ソーシャルゲーム企業が利益率が何故高いのかを考えてみよう。
2067-1	何故ソーシャルゲーム企業が利益率が高いのかを考えてみよう。
2068-1	はじめる前は戸のところだけ開放。
2068-0	戸のところだけはじめる前は開放。
2069-1	知り合いの紹介で海野歯科さんに数年前から通っています。
2069-0	海野歯科さんに知り合いの紹介で数年前から通っています。
2075-0	色々とやっぱりお金がかかるんですねぇ。
2075-1	やっぱり色々とお金がかかるんですねぇ。
2079-0	臍の緒初めて私も見ました。
2079-1	私も臍の緒初めて見ました。
2080-0	１７日の１０時に交換工事日は確定した。
2080-1	交換工事日は１７日の１０時に確定した。
2096-1	仮に成田に勝っても一二三以外左打者。
2096-0	成田に仮に勝っても一二三以外左打者。
2097-1	今日はレンコンチップスを食べてくれました！
2097-0	レンコンチップスを今日は食べてくれました！
2122-0	ルミノックスの腕時計を世界中の特殊部隊が採用しています。
2122-1	世界中の特殊部隊がルミノックスの腕時計を採用しています。
2124-0	寝るのが彼は好きなのだ。
2124-1	彼は寝るのが好きなのだ。
2127-0	ａｍａｚｏｎより以下の商品を検索ワード『高橋良平』で発見しました。
2127-1	ａｍａｚｏｎより検索ワード『高橋良平』で以下の商品を発見しました。
2128-0	ミラポツーで昨年はお世話になりました。
2128-1	昨年はミラポツーでお世話になりました。
2130-1	アーランドシリーズは好みがはっきり分かれるだろうな
2130-0	好みがはっきりアーランドシリーズは分かれるだろうな
2137-0	目の前の細い山道もクルマが意外と通過してました。
2137-1	目の前の細い山道も意外とクルマが通過してました。
2138-0	山はやはりいいなー。
2138-1	やはり山はいいなー。
2139-0	光ヴァルなどでアポロンの代わりに代用可
2139-1	アポロンの代わりに光ヴァルなどで代用可
2142-1	今日はゆっくりできたね〜楽しかったよ
2142-0	ゆっくりできたね〜今日は楽しかったよ
2148-0	巧みな落とし穴がそこには仕掛けられている。
2148-1	そこには巧みな落とし穴が仕掛けられている。
2152-0	遺族が梱包は行うべきか？
2152-1	梱包は遺族が行うべきか？
2155-0	いろんな出費がなんだかんだ多くて
2155-1	なんだかんだいろんな出費が多くて
2159-0	マニュアルのほうがいっそのこといいのでは？
2159-1	いっそのことマニュアルのほうがいいのでは？
2165-0	８千数百円を実は取り過ぎてました。
2165-1	実は８千数百円を取り過ぎてました。
2168-0	この話題はプロヴァンス式エスプリにどうやらそぐわない。
2168-1	どうやらプロヴァンス式エスプリにこの話題はそぐわない。
2169-0	静岡ホビーショーは一般公開を本日１５日・１６日にしております！
2169-1	静岡ホビーショーは本日１５日・１６日に一般公開をしております！
2172-1	私達は幸せだと思いました。
2172-0	幸せだと私達は思いました。
2175-0	なかなか洗い場のお仕事は大変ですよね……。
2175-1	洗い場のお仕事はなかなか大変ですよね……。
2176-0	近鉄線に丹波橋駅から乗換え
2176-1	丹波橋駅から近鉄線に乗換え
2179-1	私はキミに想いを伝えるよ
2179-0	キミに私は想いを伝えるよ
2181-1	柿は日本と中国が原産地です。
2181-0	日本と中国が柿は原産地です。
2185-1	みんなで感動の涙の洪水をおこしちゃいましょう！
2185-0	感動の涙の洪水をみんなでおこしちゃいましょう！
2187-0	もうそんな事も昔からだからほとんど慣れたけどね。
2187-1	そんな事ももう昔からだからほとんど慣れたけどね。
2192-0	真の値をどちらの式も示します。
2192-1	どちらの式も真の値を示します。
2193-0	部長やら何やらも課長やらとりあえず交えて
2193-1	とりあえず部長やら課長やら何やらも交えて
2197-1	ｈａｎｄｍａｄｅは手書きにしたんだけど大丈夫かな？
2197-0	手書きにしたんだけどｈａｎｄｍａｄｅは大丈夫かな？
2199-0	ギューって獣医さんが絞ると
2199-1	獣医さんがギューって絞ると
2205-1	もちろん淡は全力で勝負していた。
2205-0	全力で淡はもちろん勝負していた。
2214-1	プロ野球の新規参入球団は楽天に決まりましたね。
2214-0	楽天にプロ野球の新規参入球団は決まりましたね。
2215-0	硬貨が嫌なら紙幣にすべてすればいい。
2215-1	硬貨が嫌ならすべて紙幣にすればいい。
2218-1	小石原も度々訪れる場所です。
2218-0	度々小石原も訪れる場所です。
2228-0	スタミナラーメンと僕は焼きめし。
2228-1	僕はスタミナラーメンと焼きめし。
2229-0	３位広島と２ゲーム差にＤｅＮＡが３連勝で迫った。
2229-1	ＤｅＮＡが３連勝で３位広島と２ゲーム差に迫った。
2231-0	これが鑑賞には最適です。
2231-1	鑑賞にはこれが最適です。
2236-1	検査入院など高校生はあまりしないでしょうか？
2236-0	あまり検査入院など高校生はしないでしょうか？
2237-1	ここでは簡単な自己紹介をさせてもらいますね。
2237-0	簡単な自己紹介をここではさせてもらいますね。
2238-1	桂小五郎旧宅に五右衛門風呂があったかな・・・？
2238-0	五右衛門風呂が桂小五郎旧宅にあったかな・・・？
2248-1	今年のバレならメジャーでも５０本以上は固いな。
2248-0	５０本以上は今年のバレならメジャーでも固いな。
2252-1	主人が５００円でお米１０ｋｇを買ってきました。
2252-0	５００円で主人がお米１０ｋｇを買ってきました。
2255-1	これでスクーターいじりの端くれに入れた気分？？
2255-0	スクーターいじりの端くれにこれで入れた気分？？
2262-1	これって子供は買えないのか？
2262-0	子供はこれって買えないのか？
2265-1	私も全く同じところに疑問を持ちました。
2265-0	疑問を私も全く同じところに持ちました。
2271-1	もっと反復練習をしなくてはだめですね。
2271-0	反復練習をもっとしなくてはだめですね。
2277-0	雨の日が今週は多くなるそうですね。
2277-1	今週は雨の日が多くなるそうですね。
2280-0	刺激を娘なりに受ける
2280-1	娘なりに刺激を受ける
2297-1	坂上忍に麻雀を教えてもらう
2297-0	麻雀を坂上忍に教えてもらう
2301-1	ベッドルームからバスに繋がる便利な間取り。
2301-0	バスにベッドルームから繋がる便利な間取り。
2305-1	いつかは友人と甲州ワイナリーツアーをやってみたいです。
2305-0	友人と甲州ワイナリーツアーをいつかはやってみたいです。
2308-0	イチローより世界ではＧＰライダーの方が有名だろうに
2308-1	イチローよりＧＰライダーの方が世界では有名だろうに
2311-0	四肢が今度は痛くなりました！
2311-1	今度は四肢が痛くなりました！
2317-0	笑顔をフォトセッションで見せる市川海老蔵と小林麻央
2317-1	フォトセッションで笑顔を見せる市川海老蔵と小林麻央
2318-0	弓のダメージが山や森林は地形的には少ないようです。
2318-1	地形的には山や森林は弓のダメージが少ないようです。
2319-0	乾燥機に弱でかけた。
2319-1	弱で乾燥機にかけた。
2324-1	地元が同じでも出身高校の話題には普通ならない。
2324-0	出身高校の話題には普通地元が同じでもならない。
2332-1	友達紹介でどんどんコインが貯まる！
2332-0	どんどんコインが友達紹介で貯まる！
2342-0	全然今まで運動してなかったんだから
2342-1	今まで全然運動してなかったんだから
2346-0	授業にはそもそもふたつの要素がある。
2346-1	そもそも授業にはふたつの要素がある。
2352-0	全てＲＡＤの曲は持ってます
2352-1	ＲＡＤの曲は全て持ってます
2356-0	世にオグシオを送り出してくれてありがとう
2356-1	オグシオを世に送り出してくれてありがとう
2360-1	長野県ってもう要らなくね？
2360-0	もう長野県って要らなくね？
2361-1	大阪はマトモな地区とそうでない地区に分かれてる
2361-0	マトモな地区とそうでない地区に大阪は分かれてる
2364-1	ゆずっこのかなさんはりんぷりんさんを良い落札者と評価しました。
2364-0	りんぷりんさんをゆずっこのかなさんは良い落札者と評価しました。
2365-0	にやんちゆう☆さんを良い落札者とＮａｎａｋｏ★さんは評価しました。
2365-1	Ｎａｎａｋｏ★さんはにやんちゆう☆さんを良い落札者と評価しました。
2366-1	ひゅうまは今後も努力をしていく予定です．
2366-0	ひゅうまは努力を今後もしていく予定です．
2368-0	京阪神を徳島と結ぶ高速バス路線の廃止は初めて。
2368-1	徳島と京阪神を結ぶ高速バス路線の廃止は初めて。
2373-1	道路が溶岩で遮断されてしまってます。
2373-0	溶岩で道路が遮断されてしまってます。
2375-1	べろがんずさんはシアン姫さんを良い出品者と評価しました。
2375-0	シアン姫さんを良い出品者とべろがんずさんは評価しました。
2387-0	田植えを朝から今日はしました。
2387-1	今日は朝から田植えをしました。
2388-1	らっちょさんも４年生になり
2388-0	４年生にらっちょさんもなり
2390-1	プライベートランとレースが逆転しちゃってますね♪
2390-0	レースがプライベートランと逆転しちゃってますね♪
2392-1	今日からいよいよゴールデンウィークが始まります。
2392-0	今日からゴールデンウィークがいよいよ始まります。
2397-1	韓国はもともとキチガイ国家グループだろ
2397-0	もともと韓国はキチガイ国家グループだろ
2398-0	夕食へ義両親が招待してくれた
2398-1	義両親が夕食へ招待してくれた
2402-0	コネなしで自分は入りましたよ！
2402-1	自分はコネなしで入りましたよ！
2404-1	せめて女の子を一人でもいいから見たいわぁ。
2404-0	一人でもいいから女の子をせめて見たいわぁ。
2405-1	過去Ｒａｍのスキャン作業が先週は全然進まなかった。
2405-0	全然先週は過去Ｒａｍのスキャン作業が進まなかった。
2407-1	民主党議員は１円も税金を払ってない。
2407-0	１円も民主党議員は税金を払ってない。
2408-0	飯島愛とはｓｈｕ−ｔさんは同世代。
2408-1	ｓｈｕ−ｔさんは飯島愛とは同世代。
2412-0	この時間でもほぼ店内は満席です。
2412-1	この時間でも店内はほぼ満席です。
2421-1	少しずつブログで説明を入れていきます。
2421-0	少しずつ説明をブログで入れていきます。
2430-0	支払い能力が従兄弟親子に無いことを知っていた？
2430-1	従兄弟親子に支払い能力が無いことを知っていた？
2450-0	日本の景気回復がなぜ遅れてしまっているのか。
2450-1	なぜ日本の景気回復が遅れてしまっているのか。
2454-0	やたらテンションが深夜は高くなります
2454-1	深夜はやたらテンションが高くなります
2455-1	ゼロノス＆デネブの新曲にはちょっと泣きそうになった
2455-0	ちょっとゼロノス＆デネブの新曲には泣きそうになった
2460-0	気を特に使っています〜。
2460-1	特に気を使っています〜。
2467-0	ワックスより前髪をストレートにしたいならアイロンの方がいいんでないでしょうか？？
2467-1	前髪をストレートにしたいならワックスよりアイロンの方がいいんでないでしょうか？？
2468-1	お釜にポンのパッケージなんかは素晴らしい。
2468-0	ポンのパッケージなんかはお釜に素晴らしい。
2469-1	そこ以外はとっても組立が簡単でした。
2469-0	組立がとってもそこ以外は簡単でした。
2470-1	なんか条件が必要なタイプだと思う
2470-0	条件がなんか必要なタイプだと思う
2471-0	ここで確か自分が助手席に座りました。
2471-1	確かここで自分が助手席に座りました。
2473-1	そろそろコンタクトに戻してみようかな！！
2473-0	コンタクトにそろそろ戻してみようかな！！
2475-0	ほぼ今月中なのは確実
2475-1	今月中なのはほぼ確実
2482-0	一点をスポットライトが照らすと
2482-1	スポットライトが一点を照らすと
2483-1	車椅子を前に後ろにきこきこと動かしながら。
2483-0	車椅子をきこきこと前に後ろに動かしながら。
2489-0	美術品がそれくらい多い。
2489-1	それくらい美術品が多い。
2490-1	らぶちゃんのおなかがパツパツに感じるのはやっぱり赤ちゃん？
2490-0	パツパツにらぶちゃんのおなかが感じるのはやっぱり赤ちゃん？
2493-1	大根おろしって結構使えるな
2493-0	結構大根おろしって使えるな
2495-0	何を私は飲めばいいのだ？
2495-1	私は何を飲めばいいのだ？
2498-0	私はそんな考えで決断した。
2498-1	そんな考えで私は決断した。
2506-1	思わず横から見ちゃったもん。
2506-0	横から思わず見ちゃったもん。
2512-0	手を星空に伸ばし
2512-1	星空に手を伸ばし
2523-0	アダマスガードは可能なら覚えさせたい。
2523-1	可能ならアダマスガードは覚えさせたい。
2529-1	詳しくは中日新聞の記事をご覧下さい。
2529-0	中日新聞の記事を詳しくはご覧下さい。
2531-0	ビュッフェ形式でのご用意も貸切時には可能です。
2531-1	貸切時にはビュッフェ形式でのご用意も可能です。
2533-1	北海道の北の方ではもう紅葉が楽しめるんですよ♪
